Date,W0000_0600,W0601_1200,W1201_1800,W1801_2359,WS1,WS2,WS3,WS4,A0000_0600,A0601_1200,A1201_1800,A1801_2359,A_Total,Accident
2017-10-28,Precipitation,Rain,Rain,Precipitation,UNK,Light,Moderate,UNK,2,0,3,3,5,TRUE
2017-10-29,Rain,Rain,Clear,Clear,Moderate,Light,NA,NA,3,4,0,2,4,TRUE
2017-10-30,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,3,0,2,3,TRUE
2017-10-31,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,3,2,13,TRUE
2017-11-01,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,2,2,2,10,TRUE
2017-11-02,Clear,Clear,Clear,Rain,NA,NA,NA,Light,4,0,2,2,11,TRUE
2017-11-03,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,2,2,3,TRUE
2017-11-04,Rain,Rain,Rain,Rain,Light,Light,Light,Light,0,4,0,0,2,TRUE
2017-11-05,Clear,Clear,Clear,Rain,NA,NA,NA,Light,0,3,3,0,2,TRUE
2017-11-06,Clear,Fog,Rain,Rain,NA,Severe,Light,Light,0,2,2,2,15,TRUE
2017-11-07,Clear,Fog,Fog,Clear,NA,Severe,Severe,NA,0,2,2,2,10,TRUE
2017-11-08,Snow,Snow,Clear,Clear,Light,Light,NA,NA,0,2,2,2,18,TRUE
2017-11-09,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,2,2,16,TRUE
2017-11-10,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,2,3,2,9,TRUE
2017-11-11,Precipitation,Rain,Clear,Clear,UNK,Light,NA,NA,0,3,0,0,1,TRUE
2017-11-12,Fog,Rain,Rain,Rain,Moderate,Light,Light,Light,0,4,0,0,4,TRUE
2017-11-13,Precipitation,Rain,Rain,Clear,UNK,Light,Light,NA,3,2,2,2,12,TRUE
2017-11-14,Rain,Clear,Clear,Clear,Light,NA,NA,NA,0,2,2,2,17,TRUE
2017-11-15,Clear,Clear,Rain,Rain,NA,NA,Light,Light,0,3,2,3,12,TRUE
2017-11-16,Clear,Clear,Rain,Clear,NA,NA,Light,NA,0,2,2,3,6,TRUE
2017-11-17,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,3,2,5,TRUE
2017-11-18,Clear,Storm,Rain,Clear,NA,Severe,Light,NA,3,0,3,3,5,TRUE
2017-11-19,Clear,Fog,Clear,Clear,NA,Severe,NA,NA,2,3,0,0,4,TRUE
2017-11-20,Clear,Clear,Rain,Rain,NA,NA,Light,Light,0,0,2,2,5,TRUE
2017-11-21,Rain,Precipitation,Fog,Clear,Light,UNK,Severe,NA,3,2,3,2,20,TRUE
2017-11-22,Clear,Fog,Clear,Clear,NA,Severe,NA,NA,0,2,2,2,11,TRUE
2017-11-23,Clear,Clear,Rain,Rain,NA,NA,Light,Heavy,0,3,0,3,2,TRUE
2017-11-24,Rain,Clear,Clear,Clear,Light,NA,NA,NA,0,2,0,2,4,TRUE
2017-11-25,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2017-11-26,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2017-11-27,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,2,2,2,10,TRUE
2017-11-28,Clear,Rain,Clear,Clear,NA,Moderate,NA,NA,4,2,4,2,16,TRUE
2017-11-29,Rain,Rain,Rain,Rain,Light,Light,Light,Light,2,4,3,2,10,TRUE
2017-11-30,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,0,3,2,8,TRUE
2017-12-01,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,2,2,2,11,TRUE
2017-12-02,Clear,Clear,Clear,Clear,NA,NA,NA,NA,4,0,3,3,4,TRUE
2017-12-03,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2017-12-04,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,2,1,TRUE
2017-12-05,Rain,Clear,Clear,Clear,Light,NA,NA,NA,0,0,2,2,4,TRUE
2017-12-06,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,2,2,9,TRUE
2017-12-07,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,2,2,4,12,TRUE
2017-12-08,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,0,2,3,7,TRUE
2017-12-09,Clear,Clear,Rain,Rain,NA,NA,Heavy,Light,0,3,2,0,4,TRUE
2017-12-10,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,3,0,0,1,TRUE
2017-12-11,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,3,2,8,TRUE
2017-12-12,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,2,2,2,6,TRUE
2017-12-13,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,3,2,2,21,TRUE
