Date,W0000_0600,W0601_1200,W1201_1800,W1801_2359,WS1,WS2,WS3,WS4,A0000_0600,A0601_1200,A1201_1800,A1801_2359,A_Total,Accident
2021-02-08,Snow,Fog,Cold,Clear,Light,Moderate,Severe,NA,2,2,2,2,183,TRUE
2021-02-09,Clear,Snow,Snow,Clear,NA,Light,Light,NA,2,2,2,2,164,TRUE
2021-02-10,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,2,0,2,36,TRUE
2021-02-11,Snow,Cold,Cold,Snow,Light,Severe,Severe,Light,2,2,2,2,45,TRUE
2021-02-12,Snow,Cold,Cold,Clear,Light,Severe,Severe,NA,2,2,2,2,299,TRUE
2021-02-13,Cold,Clear,Clear,Clear,Severe,NA,NA,NA,2,2,2,2,47,TRUE
2021-02-14,Cold,Clear,Cold,Cold,Severe,NA,Severe,Severe,2,2,2,2,17,TRUE
2021-02-15,Cold,Clear,Cold,Clear,Severe,NA,Severe,NA,2,2,2,2,38,TRUE
2021-02-16,Cold,Cold,Cold,Clear,Severe,Severe,Severe,NA,2,2,2,2,34,TRUE
2021-02-17,Snow,Cold,Snow,Snow,Light,Severe,Light,Light,2,2,2,2,129,TRUE
2021-02-18,Snow,Snow,Snow,Snow,Light,Light,Light,Light,2,2,2,2,97,TRUE
2021-02-19,Snow,Fog,Snow,Clear,Light,Moderate,Light,NA,2,2,2,2,51,TRUE
2021-02-20,Fog,Fog,Fog,Clear,Moderate,Moderate,Moderate,NA,2,2,2,2,46,TRUE
2021-02-21,Snow,Clear,Snow,Snow,Light,NA,Light,Light,2,2,2,2,86,TRUE
2021-02-22,Fog,Fog,Fog,Clear,Severe,Severe,Severe,NA,2,2,2,2,51,TRUE
2021-02-23,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,2,0,2,8,TRUE
2021-02-24,Clear,Snow,Snow,Clear,NA,Light,Light,NA,2,2,2,2,9,TRUE
2021-02-25,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,2,2,2,14,TRUE
2021-02-26,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,2,2,2,11,TRUE
2021-02-27,Clear,Fog,Clear,Clear,NA,Moderate,NA,NA,0,0,2,2,3,TRUE
2021-02-28,Clear,Snow,Snow,Clear,NA,Moderate,Light,NA,2,2,2,2,14,TRUE
2021-03-01,Clear,Fog,Clear,Clear,NA,Moderate,NA,NA,2,2,2,2,22,TRUE
2021-03-02,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,2,2,2,18,TRUE
2021-03-03,Clear,Fog,Fog,Clear,NA,Severe,Severe,NA,2,2,2,2,6,TRUE
2021-03-04,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,2,0,2,5,TRUE
2021-03-05,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,2,2,12,TRUE
2021-03-06,Clear,Fog,Clear,Clear,NA,Moderate,NA,NA,0,2,2,2,5,TRUE
2021-03-07,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,0,2,2,4,TRUE
2021-03-08,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,2,2,2,12,TRUE
2021-03-09,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,2,2,2,16,TRUE
2021-03-10,Rain,Rain,Rain,Rain,Light,Light,Moderate,Light,2,2,2,2,13,TRUE
2021-03-11,Fog,Rain,Snow,Clear,Severe,Light,Light,NA,2,2,0,2,5,TRUE
2021-03-12,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,2,2,2,10,TRUE
2021-03-13,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,2,2,2,7,TRUE
2021-03-14,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,2,2,TRUE
2021-03-15,Snow,Clear,Snow,Snow,Light,NA,Light,Light,2,2,2,2,36,TRUE
2021-03-16,Snow,Clear,Snow,Clear,Light,NA,Light,NA,2,2,0,2,26,TRUE
2021-03-17,Snow,Snow,Fog,Clear,Light,Light,Moderate,NA,2,2,2,0,7,TRUE
2021-03-18,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,2,2,2,13,TRUE
2021-03-19,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,2,2,2,18,TRUE
2021-03-20,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,2,2,2,20,TRUE
2021-03-21,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,0,2,0,3,TRUE
2021-03-22,Rain,Clear,Clear,Clear,Light,NA,NA,NA,2,0,0,2,7,TRUE
2021-03-23,Rain,Rain,Rain,Rain,Light,Light,Light,Light,2,0,2,2,11,TRUE
2021-03-24,Rain,Rain,Rain,Rain,Light,Moderate,Light,Light,2,2,2,2,19,TRUE
2021-03-25,Clear,Fog,Fog,Clear,NA,Severe,Moderate,NA,2,0,2,2,8,TRUE
2021-03-26,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,0,2,2,6,TRUE
