Date,W0000_0600,W0601_1200,W1201_1800,W1801_2359,WS1,WS2,WS3,WS4,A0000_0600,A0601_1200,A1201_1800,A1801_2359,A_Total,Accident
2019-08-22,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,4,3,4,TRUE
2019-08-23,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,2,6,TRUE
2019-08-24,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2019-08-25,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2019-08-26,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,4,0,1,TRUE
2019-08-27,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,2,2,2,7,TRUE
2019-08-28,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,2,2,7,TRUE
2019-08-29,Rain,Rain,Clear,Clear,Light,Light,NA,NA,0,2,2,0,2,TRUE
2019-08-30,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,2,0,4,3,TRUE
2019-08-31,Clear,Clear,Clear,Clear,NA,NA,NA,NA,3,0,0,3,2,TRUE
2019-09-01,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2019-09-02,Storm,Clear,Clear,Clear,Severe,NA,NA,NA,0,0,0,3,2,TRUE
2019-09-03,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,2,2,2,5,TRUE
2019-09-04,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2019-09-05,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,2,2,8,TRUE
2019-09-06,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,3,0,2,6,TRUE
2019-09-07,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,2,0,1,TRUE
2019-09-08,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2019-09-09,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,2,2,2,5,TRUE
2019-09-10,Clear,Clear,Clear,Clear,NA,NA,NA,NA,3,0,2,3,6,TRUE
2019-09-11,Clear,Clear,Cold,Cold,NA,NA,Severe,Severe,0,0,0,0,0,FALSE
2019-09-12,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,2,2,10,TRUE
2019-09-13,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,2,2,2,10,TRUE
2019-09-14,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2019-09-15,Rain,Clear,Clear,Clear,Light,NA,NA,NA,3,2,0,0,2,TRUE
2019-09-16,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,2,2,4,TRUE
2019-09-17,Rain,Rain,Clear,Clear,Light,Light,NA,NA,0,0,2,3,3,TRUE
2019-09-18,Clear,Clear,Clear,Clear,NA,NA,NA,NA,3,0,0,0,1,TRUE
2019-09-19,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,2,2,TRUE
2019-09-20,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,2,2,0,7,TRUE
2019-09-21,Clear,Clear,Clear,Clear,NA,NA,NA,NA,3,0,0,0,2,TRUE
2019-09-22,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2019-09-23,Clear,Clear,Rain,Rain,NA,NA,Light,Light,0,0,2,0,5,TRUE
2019-09-24,Rain,Rain,Clear,Clear,Light,Light,NA,NA,0,2,2,2,4,TRUE
2019-09-25,Clear,Clear,Clear,Clear,NA,NA,NA,NA,2,0,0,2,2,TRUE
2019-09-26,Rain,Clear,Clear,Rain,Light,NA,NA,Light,0,0,0,2,1,TRUE
2019-09-27,Rain,Clear,Rain,Clear,Light,NA,Light,NA,2,0,2,2,3,TRUE
2019-09-28,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2019-09-29,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,3,0,4,3,TRUE
2019-09-30,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,2,0,1,TRUE
2019-10-01,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,4,0,0,1,TRUE
2019-10-02,Clear,Clear,Clear,Clear,NA,NA,NA,NA,3,0,3,2,5,TRUE
2019-10-03,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,0,0,0,FALSE
2019-10-04,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,2,2,2,5,TRUE
2019-10-05,Clear,Clear,Clear,Clear,NA,NA,NA,NA,3,0,0,0,1,TRUE
2019-10-06,Clear,Clear,Clear,Clear,NA,NA,NA,NA,4,0,0,0,1,TRUE
2019-10-07,Clear,Clear,Clear,Clear,NA,NA,NA,NA,0,0,2,2,3,TRUE
